Account,classification,trades,total_pnl,win_rate,avg_pnl
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,492,227680.491734,1.0,462.765227101626
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,68,58961.37973,1.0,867.0791136764706
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,191,-14527.442518,0.5392670157068062,-76.05990847120418
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,1270,67275.949439,0.8503937007874016,52.97318853464567
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,429,9999.484228,0.8111888111888111,23.308821044289044
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,1428,36566.483324,0.834733893557423,25.606781039215686
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,345,4029.241688,0.8347826086956521,11.678961414492754
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,311,166696.399486,0.9807073954983923,536.0012845209003
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,96,20496.054182,0.625,213.50056439583332
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,599,296781.722858,0.9532554257095158,495.46197472120207
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,721,96392.783186,0.9375866851595007,133.6931805631068
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,506,97380.090931,1.0,192.45077259090908
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,159,74346.546606,1.0,467.5883434339623
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,890,129217.68646,0.9168539325842696,145.18841175280897
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,477,-19126.158064,0.8616352201257862,-40.09676742976939
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,849,79023.471493,0.944640753828033,93.07829386690224
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,574,45514.323221,0.9494773519163763,79.29324602961672
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,157,-71121.820704,0.6687898089171974,-453.0052274140127
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,2576,367166.216924,0.860248447204969,142.53346930279503
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,1306,163047.664946,0.9134762633996937,124.84507269984687
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,1443,381330.49405,0.9667359667359667,264.2622966389466
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,46,2037.258612,0.9565217391304348,44.288230695652175
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,153,73192.077142,1.0,478.37958916339863
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,82,2040.359057,0.9634146341463414,24.88242752439024
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,122,30203.401038,1.0,247.5688609672131
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,23,1258.120923,1.0,54.70090969565217
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,312,33980.0,1.0,108.91025641025641
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,156,-58219.752261,0.32051282051282054,-373.20354013461537
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,269,453595.31817600003,0.6988847583643123,1686.2279486096656
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,187,198900.56161,0.49732620320855614,1063.6393668983958
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,1,573.585288,1.0,573.585288
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,305,144514.3446,0.9114754098360656,473.81752327868855
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,60,21077.717,1.0,351.2952833333333
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,5,-4526.698469,0.0,-905.3396938
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,291,25672.838055,0.993127147766323,88.22281118556701
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3434,210726.855269,0.953407105416424,61.364838459231215
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1498,49364.275663,0.8658210947930574,32.95345504873164
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2240,95937.394195,0.9441964285714286,42.82919383705357
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1197,-2605.9564710000004,0.87468671679198,-2.17707307518797
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,397,3222.822132,0.9848866498740554,8.117939879093198
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,1,1260.832586,1.0,1260.832586
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,287,4036.552319,0.8885017421602788,14.064642226480835
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,44,6775.291988000001,1.0,153.98390881818185
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,17,-395.0559780000001,0.8235294117647058,-23.238586941176475
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,55,12713.493131000001,0.8,231.1544205636364
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,35,-19135.913281,0.14285714285714285,-546.7403794571429
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,607,151292.732859,0.8533772652388797,249.2466768682043
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1290,-360101.898234,0.7007751937984497,-279.14875832093026
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,354,47610.460743999996,0.8192090395480226,134.49282696045196
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,25,-4825.496358,0.4,-193.01985432
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,7,11.717676000000012,0.2857142857142857,1.673953714285716
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,19,258.41533,1.0,13.600806842105262
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,145,57108.9113,0.9862068965517241,393.85456068965516
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,518,12960.109958,0.8822393822393823,25.01951729343629
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,167,1774.309786,0.8083832335329342,10.624609497005988
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,1500,56071.411052999996,0.8933333333333333,37.380940702
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,584,9299.484548,0.8253424657534246,15.923774910958905
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,3366,-24036.539128,0.4025549613784908,-7.140980133095662
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,942,808.3427170000001,0.6549893842887473,0.8581132876857751
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,33,3425.96095,1.0,103.81699848484848
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,433,63520.274683,1.0,146.6980939561201
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,7,-621.54506,0.0,-88.79215142857143
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,419,60254.251561,0.9665871121718377,143.80489632696896
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,62,1011.258943,0.9838709677419355,16.310628112903228
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,1530,47791.247782,0.9679738562091503,31.236109661437908
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,743,12934.469345,0.9959623149394348,17.40843788021534
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,1400,35098.877549,0.9921428571428571,25.070626820714285
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,1826,9467.021637,0.9446878422782037,5.184568256845564
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,4,-961.048507,0.0,-240.26212675
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,133,46411.26711,1.0,348.95689556390977
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,13,-16719.913714000002,0.23076923076923078,-1286.147208769231
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,103,44169.810737,1.0,428.8331139514563
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,2,-53.631353999999995,0.0,-26.815676999999997
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,6,622.41079,1.0,103.73513166666667
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,105,20925.513222,1.0,199.29060211428572
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,43,8129.3406589999995,1.0,189.05443393023253
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,76,38168.35486,1.0,502.21519552631577
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,1,15.24474,1.0,15.24474
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,207,14542.702934,0.7198067632850241,70.25460354589373
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,2,43.2005,1.0,21.60025
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,20,7157.683579,1.0,357.88417895
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,398,9544.906134,0.5778894472361809,23.982176216080404
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,893,1105304.859175,0.9384098544232923,1237.743403331467
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,989,93165.161357,0.993933265925177,94.20137649848333
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,2464,534058.23633,0.6530032467532467,216.74441409496754
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,1535,401309.434693,0.8514657980456026,261.43937113550487
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,830,-33221.806818,0.6385542168674698,-40.026273274698795
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,1643,51692.358711,0.91661594643944,31.46217815642118
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,168,4017.948928,0.5119047619047619,23.916362666666664
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,1700,261917.977792,1.0,154.06939870117645
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,6283,620872.375844,0.9863122712080217,98.8178220346968
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,3,4.672458,0.3333333333333333,1.557486
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,2011,57368.780126,1.0,28.527488874191942
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,171,37712.523408999994,0.5672514619883041,220.54107256725143
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,57,6053.160569999998,0.45614035087719296,106.19579947368418
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,700,236797.727737,0.8414285714285714,338.2824681957143
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,100,30258.203855,0.85,302.58203855
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,149,-90302.553718,0.4563758389261745,-606.0574075033556
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,2878,30774.092128,0.7293259207783183,10.692874262682418
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,4520,478811.468185,0.8869469026548673,105.9317407488938
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,6437,55978.79696,0.7546993941276993,8.696410899487338
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,4424,243399.51314,0.7707956600361664,55.01797313291139
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,4292,27116.682664,0.6598322460391426,6.31795961416589
